Date,Wind_mph,Temp_F,Cloud_Cover,Start_Time,End_Time,Transect,Site,Visit_Number,Point,Species,Species_Code,Count,Fly_Through,Fly_Over,Outside,Distance,Direction,Detection,Comments,Latitude,Longitude,Ecosystem
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,NA,1,140,Common Raven,CORA,1,NA,NA,NA,100,NA,NA,NA,34.37285327,-106.680494,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,NA,1,140,Common Raven,CORA,1,NA,NA,NA,75,NA,NA,NA,34.37285327,-106.680494,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,NA,1,140,Common Raven,CORA,1,NA,NA,NA,75,NA,NA,NA,34.37285327,-106.680494,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,NA,1,140,Common Raven,CORA,1,NA,NA,NA,75,NA,NA,NA,34.37285327,-106.680494,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,NA,1,140,Common Raven,CORA,1,NA,NA,NA,25,NA,NA,NA,34.37285327,-106.680494,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,NA,1,140,Common Raven,CORA,1,NA,NA,NA,25,NA,NA,NA,34.37285327,-106.680494,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,warming,1,141,Common Raven,CORA,NA,NA,NA,1,300,NA,NA,NA,34.36632662,-106.6839448,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,warming,1,143,Common Raven,CORA,NA,NA,NA,1,400,NA,NA,NA,34.35322362,-106.6907891,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,fertilizer,1,146,Common Raven,CORA,NA,NA,NA,1,440,NA,NA,NA,34.38677743,-106.678441,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,mixed_grass,1,145,Horned Lark,HOLA,1,NA,NA,NA,50,NA,NA,NA,34.34009454,-106.6977036,Desert grassland
1991-01-23,NA,NA,NA,NA,NA,Mixed_grass,mixed_grass,1,145,Horned Lark,HOLA,1,NA,NA,NA,50,NA,NA,NA,34.34009454,-106.6977036,Desert grassland
